date,open,high,low,close,volume
3/24/2024 21:00,66161.87,66666,66161.86,66530.01,1442.47129
3/24/2024 22:00,66530.01,67000,66480.01,66951.26,2145.20859
3/24/2024 23:00,66951.26,67628.69,66925.6,67209.99,3528.0104
3/25/2024 0:00,67210,67318.18,66503.97,66577.34,1749.90098
3/25/2024 1:00,66577.34,66997.01,66430,66556,1143.30913
3/25/2024 2:00,66556,66803.16,66385.06,66700.01,961.61426
3/25/2024 3:00,66700.01,67350,66575.76,67350,1256.64698
3/25/2024 4:00,67350,67533.33,67034.01,67505.99,1505.6807
3/25/2024 5:00,67506,67740,67264.11,67350,1504.72402
3/25/2024 6:00,67350,67400,66928.57,67149.99,1145.90651
3/25/2024 7:00,67150,67277.56,66710,66821.19,1030.90248
3/25/2024 8:00,66821.19,67200,66792.4,66938.67,1121.35609
3/25/2024 9:00,66938.68,67100,66747.65,67055.96,963.18355
3/25/2024 10:00,67055.96,67344.23,66840.9,66994.33,1181.44633
3/25/2024 11:00,66994.32,67020,66760,66810.15,1267.28922
3/25/2024 12:00,66810.15,67267.92,66780,67079.99,1117.7901
3/25/2024 13:00,67079.99,68000,66843.61,67984,2834.00376
3/25/2024 14:00,67984.01,69450,67677.45,69377.19,9198.98269
3/25/2024 15:00,69377.2,70000,69136.88,69792.05,5270.9542
3/25/2024 16:00,69792.06,70273,69440.18,70154.42,3937.65504
3/25/2024 17:00,70154.41,70844.44,70133.18,70559.09,3892.23798
3/25/2024 18:00,70559.08,70913.73,70364.8,70857.09,2325.51186
3/25/2024 19:00,70857.1,71000,70516.87,70960.89,2794.3952
3/25/2024 20:00,70960.89,71150,70684.84,70907.21,1846.42002
3/25/2024 21:00,70907.21,70941.1,69562.09,69853.57,2779.48822
3/25/2024 22:00,69853.58,70681.03,69850,70310,1460.9334
3/25/2024 23:00,70309.99,70469.99,69725.51,69880.01,1140.81214
3/26/2024 0:00,69880,70221.1,69732.8,69893,1197.13506
3/26/2024 1:00,69892.99,70323.79,69800,70284.19,1059.13894
3/26/2024 2:00,70284.19,70549.54,70045,70530,1200.78268
3/26/2024 3:00,70529.99,70606,70288,70423.11,985.82489
3/26/2024 4:00,70423.11,70665.83,70401.11,70600.83,797.28579
3/26/2024 5:00,70600.82,70609.17,70274.55,70300,933.54798
3/26/2024 6:00,70300,70616.64,70260.3,70616.01,986.18095
3/26/2024 7:00,70616.01,71561.1,70412.33,70486.38,3728.1966
3/26/2024 8:00,70486.38,70820,70268.66,70693.66,1845.31347
3/26/2024 9:00,70693.66,71280,70620,71142.23,1462.22622
3/26/2024 10:00,71142.24,71194.99,70865.73,70893.73,1466.58704
3/26/2024 11:00,70893.73,70906.72,70578,70693.16,1260.55387
3/26/2024 12:00,70693.17,71113.5,70524,71109.99,1464.34142
3/26/2024 13:00,71109.99,71136.63,70070,70389.99,2884.51845
3/26/2024 14:00,70389.99,70676.2,69280,70310,4822.42435
3/26/2024 15:00,70310.01,70348.05,69686.6,70250,1891.858
3/26/2024 16:00,70250.01,70499,69412,69729.99,2778.42627
3/26/2024 17:00,69729.99,70200,69502,70066.55,1525.7649
3/26/2024 18:00,70066.54,70400,69927.49,69932,1025.64281
3/26/2024 19:00,69931.99,70081.1,69445.97,69477.67,2297.9437
3/26/2024 20:00,69477.66,69872,69401.72,69827.76,982.28972
3/26/2024 21:00,69827.76,70197.05,69730,70000.68,819.80881
3/26/2024 22:00,70000.67,70280,69652.01,70249.22,810.82708
3/26/2024 23:00,70249.21,70305.33,69946.14,69988,707.76517
3/27/2024 0:00,69987.99,70700,69840,70619.99,1521.91332
3/27/2024 1:00,70619.99,70739.65,70170.67,70326.74,1197.48528
3/27/2024 2:00,70326.74,70588,70175,70575.94,830.42801
3/27/2024 3:00,70575.94,70687.73,70310.01,70387.99,822.87309
3/27/2024 4:00,70388,70487.37,70034.45,70190,1011.99578
3/27/2024 5:00,70190,70519.99,70154.37,70475.07,830.06961
3/27/2024 6:00,70475.06,70598,70164.46,70309.99,785.62602
3/27/2024 7:00,70310,70331.62,69640,69725.99,1565.71437
3/27/2024 8:00,69726,69991.71,69510,69547.91,1124.41606
3/27/2024 9:00,69547.91,70111,69407,70057.6,1641.41293
3/27/2024 10:00,70057.6,70200.4,69920,70112.01,1223.53867
3/27/2024 11:00,70112.01,70359.97,70021.1,70220.73,1182.41741
3/27/2024 12:00,70220.73,70375.39,69994.01,70186.18,1212.97579
3/27/2024 13:00,70186.17,71769.54,69645.04,69892,8425.75461
3/27/2024 14:00,69891.99,70218.08,68534.01,70050.74,8808.9635
3/27/2024 15:00,70050.74,70078.5,68868.59,68874,3881.76696
3/27/2024 16:00,68873.99,69310,68359.18,69244,3154.85859
3/27/2024 17:00,69244.01,69406,68600,68680.01,1536.70277
3/27/2024 18:00,68680.01,68925.6,68410,68475.61,1899.56324
3/27/2024 19:00,68475.6,68933.33,68468.01,68652,1505.42637
3/27/2024 20:00,68652.01,69163.01,68630,68906.02,1062.90397
3/27/2024 21:00,68906.01,69250,68900,68941.99,1093.45387
3/27/2024 22:00,68942,69441.4,68919.46,69440.14,1447.00718
3/27/2024 23:00,69440.15,69637.66,69072.4,69469.99,1352.08945
3/28/2024 0:00,69469.99,69980,69382,69682,1354.66941
3/28/2024 1:00,69682,69750.51,69300,69442.6,975.95051
3/28/2024 2:00,69442.6,69578.81,68903.62,69146.89,1106.63753
3/28/2024 3:00,69146.9,69373.13,69068,69290,785.488
3/28/2024 4:00,69290,69764.7,69280,69717.22,1037.41041
3/28/2024 5:00,69717.22,69939.42,69610,69714.2,794.00301
3/28/2024 6:00,69714.21,70400,69646,70363.74,1811.1137
3/28/2024 7:00,70363.74,70469.82,70192.71,70399.03,1282.6651
3/28/2024 8:00,70399.04,70865.58,70292.44,70578.1,2225.9795
3/28/2024 9:00,70578.1,70940.29,70527.36,70566,1444.05082
3/28/2024 10:00,70565.99,70848.8,70337.43,70800,1688.08225
3/28/2024 11:00,70800,70962.63,70521.11,70647.18,1414.60357
3/28/2024 12:00,70647.18,70850.7,70348.75,70839.16,1589.02255
3/28/2024 13:00,70839.15,71364.95,70397.96,70877.98,3338.63412
3/28/2024 14:00,70877.98,71552.06,70682.9,71537.97,3947.36294
3/28/2024 15:00,71537.97,71537.98,70974.96,71290.39,2460.72429
3/28/2024 16:00,71290.38,71320,70521.97,70686.95,1919.66798
3/28/2024 17:00,70686.96,70838.7,70450,70791.17,1044.25026
3/28/2024 18:00,70791.16,70975.99,70404,70550,1007.38486
3/28/2024 19:00,70550,70913.93,70482.33,70798.26,1228.56939
3/28/2024 20:00,70798.26,70876,70620.11,70674.08,749.73131
3/28/2024 21:00,70674.08,70906.5,70654.77,70781.81,598.94141
3/28/2024 22:00,70781.81,70882.17,70541.9,70848.01,784.63372
3/28/2024 23:00,70848,71074.03,70687.94,70780.6,849.45575
3/29/2024 0:00,70780.6,70827.99,70606,70735.8,571.19293
3/29/2024 1:00,70735.79,70916.16,70647.06,70790.01,723.48752
3/29/2024 2:00,70790.01,70815.8,70580.34,70619.27,710.7223
3/29/2024 3:00,70619.28,70714,70274.07,70442.22,1029.85551
3/29/2024 4:00,70442.23,70538.78,70286,70365.05,795.07163
3/29/2024 5:00,70365.05,70456.4,70176.97,70180.7,732.90036
3/29/2024 6:00,70180.71,70478,70025,70438.02,761.21616
3/29/2024 7:00,70438.01,70498.08,69746.33,69794,1726.56114
3/29/2024 8:00,69794.01,70084.01,69712,69932.99,1450.04436
3/29/2024 9:00,69933,70050,69566.2,69733.73,1028.49833
3/29/2024 10:00,69733.73,70125.95,69566,70108,1174.67292
3/29/2024 11:00,70108.01,70318,70062.11,70142.78,1055.44873
3/29/2024 12:00,70142.78,70299,69852.08,70150.01,1187.32733
3/29/2024 13:00,70150,70636.04,70050.54,70426.7,1265.39015
3/29/2024 14:00,70426.7,70500,70034.46,70061.83,1409.37716
3/29/2024 15:00,70061.83,70129.22,69009,69180,3181.87663
3/29/2024 16:00,69179.99,69591.43,69078.62,69176.47,1972.71473
3/29/2024 17:00,69176.46,69463.2,69100,69404.29,960.2293
3/29/2024 18:00,69404.29,69602,69322.02,69513.98,736.65387
3/29/2024 19:00,69513.98,69666,69360.6,69665.99,576.4681
3/29/2024 20:00,69665.99,69711.06,69530,69615.59,460.46997
3/29/2024 21:00,69615.59,69625.26,69290,69419.99,580.03323
3/29/2024 22:00,69420,69820.89,69419.99,69808,722.75182
3/29/2024 23:00,69807.99,69916.5,69746.09,69850.54,632.11935
3/30/2024 0:00,69850.53,69936.95,69710,69932.9,678.92298
3/30/2024 1:00,69932.89,70177.87,69826.36,69976.07,988.39393
3/30/2024 2:00,69976.08,70010,69838.24,69934,417.42063
3/30/2024 3:00,69934.01,70042.19,69750,69773.99,449.20847
3/30/2024 4:00,69774,70100,69755.98,70068.52,648.05245
3/30/2024 5:00,70068.51,70321.1,69866.67,70006.81,1010.83741
3/30/2024 6:00,70006.8,70098.39,69868.41,69960,575.979
3/30/2024 7:00,69960.01,70022.99,69852.08,69852.18,434.17434
3/30/2024 8:00,69852.18,70016,69811.37,69966.01,552.88099
